CustomerID;Age;Gender;Income;CampaignChannel;CampaignType;AdSpend;ClickThroughRate;ConversionRate;WebsiteVisits;PagesPerVisit;TimeOnSite;SocialShares;EmailOpens;EmailClicks;PreviousPurchases;LoyaltyPoints;AdvertisingPlatform;AdvertisingTool;Conversion
8000;56;Female;136912,00;Social Media;Awareness;6497,87;0,04;0,09;0;2,40;7,40;19;6;9;4;688;IsConfid;ToolConfid;1
8001;69;Male;41760,00;Email;Retention;3898,67;0,16;0,18;42;2,92;5,35;5;2;7;2;3459;IsConfid;ToolConfid;1
8002;46;Female;88456,00;PPC;Awareness;1546,43;0,28;0,08;2;8,22;13,79;0;11;2;8;2337;IsConfid;ToolConfid;1
8003;32;Female;44085,00;PPC;Conversion;539,53;0,14;0,09;47;4,54;14,69;89;2;2;0;2463;IsConfid;ToolConfid;1
8004;60;Female;83964,00;PPC;Conversion;1678,04;0,25;0,11;0;2,05;13,99;6;6;6;8;4345;IsConfid;ToolConfid;1
8005;25;Female;42925,00;Social Media;Awareness;9579,39;0,15;0,16;6;2,13;7,75;95;5;8;0;3316;IsConfid;ToolConfid;1
8006;38;Female;25615,00;Referral;Awareness;7302,90;0,04;0,06;42;1,75;10,70;54;14;3;6;930;IsConfid;ToolConfid;1
8007;56;Female;57083,00;Social Media;Conversion;5324,28;0,05;0,19;48;2,63;2,99;96;9;3;0;2983;IsConfid;ToolConfid;1
8008;36;Female;140788,00;Email;Retention;9421,25;0,02;0,11;13;5,47;14,29;73;4;8;5;460;IsConfid;ToolConfid;1
8009;40;Male;130764,00;Social Media;Awareness;6229,19;0,07;0,17;22;1,14;4,61;14;8;4;8;3789;IsConfid;ToolConfid;1
8010;28;Male;88319,00;PPC;Retention;7283,89;0,27;0,11;47;2,05;3,29;94;16;5;6;1987;IsConfid;ToolConfid;1
8011;28;Male;29605,00;SEO;Awareness;2898,25;0,20;0,16;16;9,16;1,37;23;18;6;5;2403;IsConfid;ToolConfid;1
8012;41;Male;131093,00;Email;Conversion;5930,92;0,22;0,02;13;8,89;8,48;28;16;5;4;2946;IsConfid;ToolConfid;1
8013;53;Male;64608,00;SEO;Awareness;1520,42;0,19;0,16;8;8,50;14,25;81;8;1;2;2818;IsConfid;ToolConfid;1
8014;57;Male;148788,00;Email;Awareness;4104,38;0,12;0,11;20;7,36;2,47;70;16;8;1;3247;IsConfid;ToolConfid;1
8015;41;Female;39192,00;Email;Awareness;429,08;0,07;0,10;44;6,95;2,25;33;0;1;1;4474;IsConfid;ToolConfid;0
8016;20;Female;23331,00;PPC;Conversion;2244,62;0,28;0,03;1;3,48;4,45;77;7;8;8;3252;IsConfid;ToolConfid;1
8017;39;Female;71330,00;Social Media;Conversion;841,20;0,16;0,15;31;4,01;10,15;83;18;5;2;3463;IsConfid;ToolConfid;1
8018;19;Female;117392,00;PPC;Conversion;3939,01;0,15;0,03;7;3,12;8,44;92;8;4;6;2222;IsConfid;ToolConfid;1
8019;41;Female;69949,00;PPC;Consideration;8446,05;0,30;0,05;35;9,82;1,90;36;7;7;3;3644;IsConfid;ToolConfid;1
8020;61;Female;88382,00;PPC;Consideration;3841,55;0,12;0,03;25;6,71;6,91;41;5;1;6;1651;IsConfid;ToolConfid;1
8021;47;Female;119233,00;SEO;Consideration;8333,23;0,26;0,01;36;9,69;1,47;63;14;0;5;2586;IsConfid;ToolConfid;1
8022;55;Male;57586,00;Email;Consideration;6599,33;0,26;0,14;14;3,45;12,85;94;14;6;9;1989;IsConfid;ToolConfid;1
8023;19;Female;72243,00;Referral;Conversion;5144,34;0,08;0,06;33;6,59;2,05;18;5;5;3;1417;IsConfid;ToolConfid;1
8024;38;Female;120566,00;Social Media;Awareness;2445,23;0,04;0,04;20;7,83;7,33;22;14;3;2;1563;IsConfid;ToolConfid;1
8025;50;Female;144213,00;PPC;Conversion;9229,35;0,29;0,07;22;1,85;7,90;70;17;3;3;2227;IsConfid;ToolConfid;1
8026;29;Male;78618,00;Email;Consideration;636,59;0,13;0,10;8;7,00;8,19;5;5;5;1;129;IsConfid;ToolConfid;0
8027;39;Male;98311,00;Social Media;Retention;6920,24;0,01;0,11;39;2,52;9,33;98;17;6;1;2688;IsConfid;ToolConfid;1
8028;61;Female;27549,00;Referral;Retention;6250,27;0,15;0,08;25;3,95;10,67;92;17;1;3;68;IsConfid;ToolConfid;1
8029;42;Female;138168,00;Referral;Conversion;4466,31;0,19;0,10;42;7,45;0,56;54;18;6;2;3079;IsConfid;ToolConfid;1
8030;66;Male;72494,00;PPC;Awareness;2479,18;0,24;0,09;21;4,96;0,95;76;19;9;4;1011;IsConfid;ToolConfid;1
8031;44;Male;107973,00;Referral;Consideration;4363,89;0,28;0,17;12;9,29;9,37;38;12;6;0;911;IsConfid;ToolConfid;1
8032;59;Female;43958,00;Referral;Awareness;8740,45;0,28;0,02;24;3,17;3,14;24;10;5;6;4683;IsConfid;ToolConfid;1
8033;45;Female;109779,00;Social Media;Awareness;8383,98;0,28;0,17;6;2,38;12,56;97;14;2;3;467;IsConfid;ToolConfid;1
8034;33;Male;127713,00;Social Media;Awareness;9419,67;0,02;0,06;26;4,03;9,60;82;5;7;5;653;IsConfid;ToolConfid;1
8035;32;Female;127960,00;PPC;Consideration;3147,15;0,22;0,15;14;8,67;14,72;3;10;0;1;2429;IsConfid;ToolConfid;1
8036;64;Male;114520,00;Email;Conversion;3932,33;0,08;0,09;11;8,63;11,06;87;3;7;3;1066;IsConfid;ToolConfid;1
8037;68;Male;122478,00;PPC;Consideration;285,39;0,06;0,07;44;4,32;1,82;32;14;6;4;257;IsConfid;ToolConfid;1
8038;61;Female;149203,00;SEO;Consideration;9435,20;0,24;0,13;32;8,29;2,98;65;15;1;5;4709;IsConfid;ToolConfid;1
8039;69;Male;141835,00;Referral;Conversion;3360,96;0,13;0,16;20;1,70;1,17;1;13;0;0;2885;IsConfid;ToolConfid;1
8040;20;Female;57538,00;Email;Conversion;4101,22;0,28;0,10;24;1,07;11,25;13;4;7;3;1476;IsConfid;ToolConfid;1
8041;54;Female;25833,00;Social Media;Conversion;9087,27;0,02;0,10;39;8,78;2,34;49;14;3;1;3243;IsConfid;ToolConfid;1
8042;68;Female;142893,00;SEO;Retention;5313,32;0,24;0,02;46;8,87;10,12;10;9;9;9;3513;IsConfid;ToolConfid;1
8043;24;Male;43386,00;SEO;Retention;5705,13;0,05;0,19;21;2,29;8,55;33;5;9;0;913;IsConfid;ToolConfid;0
8044;38;Male;136981,00;Referral;Conversion;1844,71;0,06;0,17;13;3,68;9,68;37;15;8;8;2136;IsConfid;ToolConfid;1
8045;26;Male;120349,00;Social Media;Awareness;5036,73;0,15;0,09;7;8,66;7,88;91;15;3;0;284;IsConfid;ToolConfid;1
8046;56;Female;119341,00;Email;Retention;9190,27;0,12;0,16;23;1,75;0,69;38;18;7;1;4275;IsConfid;ToolConfid;1
8047;35;Female;91778,00;Social Media;Consideration;5631,31;0,15;0,07;2;8,77;4,17;21;2;7;8;3388;IsConfid;ToolConfid;1
8048;21;Female;114240,00;Referral;Consideration;2625,65;0,28;0,15;11;6,17;13,33;41;19;0;7;883;IsConfid;ToolConfid;1
8049;42;Female;127955,00;SEO;Retention;408,69;0,20;0,11;46;6,92;13,97;96;17;4;9;3404;IsConfid;ToolConfid;1
8050;31;Female;44832,00;Referral;Consideration;3429,39;0,09;0,10;21;6,35;1,91;94;18;3;9;4788;IsConfid;ToolConfid;1
8051;67;Female;97857,00;PPC;Conversion;5768,65;0,06;0,02;15;6,24;14,31;56;1;3;9;4720;IsConfid;ToolConfid;1
8052;26;Male;58930,00;SEO;Consideration;521,87;0,13;0,19;6;2,67;10,22;77;8;8;3;2124;IsConfid;ToolConfid;1
8053;43;Male;52407,00;Referral;Retention;6136,95;0,14;0,17;17;3,12;13,88;37;0;2;1;3219;IsConfid;ToolConfid;1
8054;19;Female;24073,00;Email;Awareness;5281,80;0,18;0,16;44;6,22;6,32;8;3;7;7;4930;IsConfid;ToolConfid;1
8055;37;Male;37667,00;Email;Consideration;7856,01;0,09;0,07;22;4,61;1,98;87;3;8;2;1977;IsConfid;ToolConfid;1
8056;45;Male;36035,00;Email;Consideration;385,99;0,23;0,07;25;5,87;4,89;28;5;7;9;3851;IsConfid;ToolConfid;1
8057;64;Female;26732,00;PPC;Awareness;7830,39;0,04;0,12;37;3,28;10,50;68;5;3;0;336;IsConfid;ToolConfid;1
8058;24;Female;75097,00;Social Media;Retention;5256,68;0,17;0,17;1;5,17;12,03;41;18;1;1;465;IsConfid;ToolConfid;1
8059;61;Male;23487,00;Email;Awareness;3768,24;0,19;0,19;1;2,29;1,23;59;7;9;3;3434;IsConfid;ToolConfid;1
